timestamp_s,reading_value,raw_text,unit,confidence,status,interpolated_value
0.0,8.66,8.66,uA,0.106,LOW_CONFIDENCE,28.759999999999998
1.0,48.86,48.86,uA,0.246,OK,48.86
2.0,75.0,75,uA,0.268,OK,56.875
3.0,9441.0,9441,uA,0.305,OK,56.875
4.0,4449.0,4449,uA,0.383,OK,38.75
5.0,4444.0,4444,uA,0.375,OK,20.625
6.0,2.5,2.5,uA,0.145,LOW_CONFIDENCE,2.5
7.0,2.0,2.,uA,0.118,LOW_CONFIDENCE,2.0
8.0,0.0,00.0,uA,0.284,OK,0.6666666666666666
9.0,,2-.66,uA,0.27,OK,0.6666666666666666
10.0,,2-6.6,uA,0.266,OK,1.3333333333333333
11.0,2.0,2.,uA,0.108,LOW_CONFIDENCE,1.3333333333333333
12.0,0.0,0.,uA,0.03,LOW_CONFIDENCE,2.0
13.0,6.2,6.2,uA,0.163,LOW_CONFIDENCE,2.25
14.0,2.25,2.25,uA,0.112,LOW_CONFIDENCE,6.2
15.0,8.846,8.846,uA,0.247,OK,8.846
16.0,8.886,8.886,uA,0.177,LOW_CONFIDENCE,8.846
17.0,4.946,4.946,uA,0.233,OK,6.059333333333333
18.0,626.6,626.6,uA,0.126,LOW_CONFIDENCE,6.059333333333333
19.0,,-.,uA,0.638,OK,7.172666666666666
20.0,8.286,8.286,uA,0.138,LOW_CONFIDENCE,7.172666666666666
21.0,2.846,2.846,uA,0.229,OK,6.282
22.0,6.282,6.282,uA,0.299,OK,5.0
23.0,5.0,5.,uA,0.089,LOW_CONFIDENCE,5.0
24.0,2.5,2.5,uA,0.107,LOW_CONFIDENCE,5.0
25.0,7.2,7.2,uA,0.289,OK,7.2
26.0,10.5,10.5,uA,0.174,LOW_CONFIDENCE,10.5
27.0,17.0,17.0,uA,0.215,OK,17.0
28.0,72.7,072.7,uA,0.168,LOW_CONFIDENCE,17.0
29.0,1.613,1.613,uA,0.309,OK,8.26
30.0,8.26,8.26,uA,0.293,OK,6.266
31.0,6.266,6.266,uA,0.16,LOW_CONFIDENCE,7.2
32.0,7.2,7.2,uA,0.289,OK,6.266
33.0,1.25,1.25,uA,0.189,LOW_CONFIDENCE,2.75
34.0,2.75,2.75,uA,0.222,OK,1.343
35.0,1.343,1.343,uA,0.404,OK,1.343
36.0,1.0,1,uA,0.39,OK,1.343
37.0,8.742,8.742,uA,0.271,OK,8.742
38.0,449.4,449.4,uA,0.35,OK,28.861
39.0,48.98,48.98,uA,0.259,OK,28.861
40.0,0.0,0,uA,0.002,LOW_CONFIDENCE,0.0
41.0,9419.0,9419,uA,0.502,OK,0.0
42.0,0.0,0.,uA,0.019,LOW_CONFIDENCE,0.0
43.0,,---.2,uA,0.443,OK,0.11
44.0,0.22,0.22,uA,0.109,LOW_CONFIDENCE,0.22
45.0,38.8,38.80,uA,0.245,OK,1.0
46.0,1.0,1.,uA,0.357,OK,5.0
47.0,,,uA,0.0,LOW_CONFIDENCE,5.0
48.0,,1.-1,uA,0.523,OK,9.0
49.0,13.0,13,uA,0.341,OK,12.066666666666666
50.0,,,uA,0.668,LOW_CONFIDENCE,12.066666666666666
51.0,,,uA,0.48,LOW_CONFIDENCE,11.133333333333333
52.0,,,uA,0.0,LOW_CONFIDENCE,10.200000000000001
53.0,,,uA,0.0,LOW_CONFIDENCE,9.266666666666667
54.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
55.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
56.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
57.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
58.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
59.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
60.0,,,uA,0.0,LOW_CONFIDENCE,8.333333333333334
61.0,1.8,1.8,uA,0.449,OK,4.112
62.0,4.112,4.112,uA,0.283,OK,1.8
63.0,0.662,0.662,uA,0.205,OK,4.112
64.0,51.0,51,uA,0.246,OK,43.857142857142854
65.0,,,uA,0.0,LOW_CONFIDENCE,43.857142857142854
66.0,,,uA,0.0,LOW_CONFIDENCE,36.714285714285715
67.0,,,uA,0.0,LOW_CONFIDENCE,29.57142857142857
68.0,,,uA,0.0,LOW_CONFIDENCE,22.428571428571427
69.0,,,uA,0.0,LOW_CONFIDENCE,15.285714285714285
70.0,,,uA,0.0,LOW_CONFIDENCE,15.285714285714285
71.0,1.0,1,uA,0.538,OK,6.093333333333334
72.0,,,uA,0.0,LOW_CONFIDENCE,6.093333333333334
73.0,,,uA,0.0,LOW_CONFIDENCE,11.186666666666667
74.0,16.28,16.28,uA,0.281,OK,11.186666666666667
75.0,6.08,6.08,uA,0.287,OK,6.8
76.0,6.8,6.8,uA,0.29,OK,6.08
77.0,2.968,2.968,uA,0.285,OK,2.968
78.0,0.628,0.628,uA,0.218,OK,2.968
79.0,16.08,16.08,uA,0.258,OK,0.628
80.0,0.08,0.08,uA,0.213,OK,2.628
81.0,2.628,2.628,uA,0.184,LOW_CONFIDENCE,0.08
82.0,0.08,0.08,uA,0.271,OK,2.628
83.0,3.638,3.638,uA,0.185,LOW_CONFIDENCE,0.08
84.0,0.002,0.002,uA,0.16,LOW_CONFIDENCE,0.002
85.0,-0.068,-.068,uA,0.211,OK,0.002
86.0,6.78,6.78,uA,0.341,OK,0.618
87.0,0.618,0.618,uA,0.247,OK,6.78
88.0,16.39,16.39,uA,0.372,OK,1.0
89.0,1.0,1.000,uA,0.269,OK,6.26
90.0,6.26,6.26,uA,0.403,OK,1.628
91.0,1.628,1.628,uA,0.421,OK,1.628
92.0,0.282,0.282,uA,0.219,OK,1.628
93.0,6.28,6.28,uA,0.377,OK,0.602
94.0,0.602,0.602,uA,0.213,OK,6.062
95.0,6.062,6.062,uA,0.182,LOW_CONFIDENCE,0.622
96.0,0.622,0.622,uA,0.24,OK,6.062
97.0,6.18,6.18,uA,0.383,OK,5.038
98.0,,16.-8,uA,0.353,OK,5.038
99.0,,6.6-8,uA,0.279,OK,3.896
100.0,,0.6-2,uA,0.268,OK,2.754
101.0,1.612,1.612,uA,0.374,OK,1.628
102.0,1.628,1.628,uA,0.323,OK,1.628
103.0,,2.-82,uA,0.356,OK,2.117
104.0,2.606,2.606,uA,0.3,OK,2.117
105.0,,,uA,0.0,LOW_CONFIDENCE,2.112
106.0,1.618,1.618,uA,0.401,OK,1.743
107.0,,1.6-8,uA,0.363,OK,1.743
108.0,1.868,1.868,uA,0.284,OK,1.768
109.0,,1.6-8,uA,0.369,OK,1.768
110.0,1.668,1.668,uA,0.289,OK,1.768
111.0,6.68,6.68,uA,0.309,OK,6.68
112.0,,1.6-8,uA,0.379,OK,11.68
113.0,16.68,16.68,uA,0.276,OK,11.68
114.0,1.62,1.620,uA,0.344,OK,4.053333333333333
115.0,,5.-8,uA,0.464,OK,4.053333333333333
116.0,,16.-8,uA,0.41,OK,6.486666666666666
117.0,,5.-8,uA,0.458,OK,8.92
118.0,,16.-8,uA,0.404,OK,11.353333333333332
119.0,,16.-8,uA,0.355,OK,13.786666666666665
120.0,16.22,16.22,uA,0.274,OK,13.786666666666665
121.0,1.608,1.608,uA,0.292,OK,16.22
122.0,16.28,16.28,uA,0.278,OK,6.28
123.0,6.28,6.28,uA,0.303,OK,6.28
124.0,6.08,6.08,uA,0.358,OK,6.28
125.0,9.18,9.18,uA,0.392,OK,6.28
126.0,6.28,6.28,uA,0.406,OK,6.28
127.0,0.038,0.038,uA,0.27,OK,0.208
128.0,0.208,0.208,uA,0.153,LOW_CONFIDENCE,0.208
129.0,0.208,0.208,uA,0.187,LOW_CONFIDENCE,0.208
130.0,3.622,3.622,uA,0.252,OK,3.622
131.0,4.668,4.668,uA,0.295,OK,4.668
132.0,5.326,5.326,uA,0.341,OK,4.668
133.0,2.22,2.22,uA,0.271,OK,2.454
134.0,,9.-26,uA,0.357,OK,2.454
135.0,2.688,2.688,uA,0.312,OK,2.688
136.0,6.682,6.682,uA,0.238,OK,6.682
137.0,6.682,6.682,uA,0.283,OK,6.682
138.0,3.628,3.628,uA,0.313,OK,6.622
139.0,6.622,6.622,uA,0.228,OK,6.622
140.0,6.622,6.622,uA,0.271,OK,6.622
141.0,6.632,6.632,uA,0.332,OK,6.622
142.0,6.602,6.602,uA,0.218,OK,6.602
143.0,-0.638,-.638,uA,0.35,OK,2.628
144.0,2.628,2.628,uA,0.272,OK,-0.628
145.0,-0.628,-.628,uA,0.35,OK,2.628
146.0,6.022,6.022,uA,0.233,OK,6.022
147.0,6.86,6.86,uA,0.273,OK,6.022
148.0,1.608,1.608,uA,0.311,OK,6.86
149.0,6.88,6.88,uA,0.386,OK,6.88
150.0,8.66,8.66,uA,0.205,OK,8.26
151.0,8.26,8.26,uA,0.246,OK,8.26
152.0,268.0,268,uA,0.233,OK,6.609999999999999
