timestamp_s,reading_value,raw_text,unit,confidence,status,interpolated_value
0.0,289.8,289.8,V,0.289,OK,3.09
1.0,92.89,92.89,V,0.36,OK,3.09
2.0,99.29,99.29,V,0.36,OK,3.09
3.0,3.09,3.090,V,0.361,OK,3.09
4.0,3.45,3.45,V,0.268,OK,3.09
5.0,,,V,0.0,LOW_CONFIDENCE,1.225
6.0,-1.0,-1,V,0.503,OK,1.225
7.0,3.25,3.25,V,0.24,OK,3.25
8.0,72.88,72.88,V,0.297,OK,4.02
9.0,,,V,0.0,LOW_CONFIDENCE,4.79
10.0,,,V,0.0,LOW_CONFIDENCE,5.56
11.0,,,V,0.0,LOW_CONFIDENCE,6.33
12.0,7.1,7.1,V,0.56,OK,6.33
13.0,0.1,0.1,V,0.319,OK,7.1
14.0,9.0,9,V,0.304,OK,5.0
15.0,,,V,0.0,LOW_CONFIDENCE,5.0
16.0,1.0,1,V,0.708,OK,5.0
17.0,8.1,8.1,V,0.389,OK,8.0
18.0,8.0,8.0,V,0.116,LOW_CONFIDENCE,8.0
19.0,66.1,66.1,V,0.263,OK,4.4
20.0,0.8,0.800,V,0.137,LOW_CONFIDENCE,4.4
21.0,7.662,7.662,V,0.231,OK,4.88
22.0,4.88,4.88,V,0.418,OK,4.88
23.0,0.468,0.468,V,0.287,OK,4.88
24.0,9.428,9.428,V,0.307,OK,3.4
25.0,3.4,3.400,V,0.193,LOW_CONFIDENCE,3.4
26.0,2.68,2.680,V,0.329,OK,2.794
27.0,260.0,260.0,V,0.304,OK,2.794
28.0,2.908,2.908,V,0.282,OK,2.908
29.0,520.4,520.4,V,0.251,OK,3.896
30.0,4.884,4.884,V,0.325,OK,4.88
31.0,4.88,4.880,V,0.227,OK,4.882
32.0,528.3,528.3,V,0.252,OK,4.882
33.0,4.884,4.884,V,0.317,OK,4.884
34.0,9.908,9.908,V,0.294,OK,4.884
35.0,3.404,3.404,V,0.402,OK,3.958
36.0,3.958,3.958,V,0.289,OK,3.958
37.0,4.978,4.978,V,0.389,OK,4.978
38.0,9.808,9.808,V,0.231,OK,4.978
39.0,2.968,2.968,V,0.268,OK,3.968
40.0,3.968,3.968,V,0.272,OK,3.938
41.0,3.938,3.938,V,0.296,OK,3.968
42.0,4.528,4.528,V,0.417,OK,3.938
43.0,2.628,2.628,V,0.392,OK,2.628
44.0,2.528,2.528,V,0.362,OK,2.628
45.0,252.0,252.0,V,0.305,OK,5.5280000000000005
46.0,8.528,8.528,V,0.328,OK,8.528
47.0,8.578,8.578,V,0.368,OK,8.528
48.0,4.938,4.938,V,0.306,OK,8.578
49.0,25.28,25.28,V,0.322,OK,8.528
50.0,8.528,8.528,V,0.336,OK,8.528
51.0,2.688,2.688,V,0.341,OK,6.838
52.0,6.838,6.838,V,0.353,OK,2.688
53.0,2.036,2.036,V,0.358,OK,6.838
54.0,25.86,25.86,V,0.296,OK,17.09
55.0,258.8,258.8,V,0.286,OK,17.09
56.0,8.32,8.320,V,0.287,OK,8.32
57.0,7.666,7.666,V,0.192,LOW_CONFIDENCE,7.666
58.0,5.0,5.,V,0.303,OK,5.0
59.0,5.0,5.,V,0.351,OK,5.0
60.0,0.22,0.22,V,0.242,OK,5.0
61.0,6.2,6.20,V,0.207,OK,3.62
62.0,3.62,3.620,V,0.229,OK,6.2
63.0,6.686,6.686,V,0.149,LOW_CONFIDENCE,6.686
64.0,8.888,8.888,V,0.395,OK,6.686
65.0,4.848,4.848,V,0.358,OK,4.848
66.0,1.666,1.666,V,0.209,OK,2.0
67.0,2.0,2.,V,0.273,OK,2.0
68.0,3.1,3.1,V,0.344,OK,2.0
69.0,1.806,1.806,V,0.377,OK,1.806
70.0,98.69,98.69,V,0.274,OK,1.736
71.0,1.666,1.666,V,0.228,OK,1.736
72.0,2.882,2.882,V,0.367,OK,2.882
73.0,8.888,8.888,V,0.25,OK,7.084
74.0,82.8,82.80,V,0.31,OK,7.084
75.0,5.28,5.280,V,0.345,OK,5.28
76.0,0.682,0.682,V,0.227,OK,5.28
77.0,8.682,8.682,V,0.291,OK,8.682
78.0,28.8,28.80,V,0.351,OK,8.682
79.0,8.386,8.386,V,0.243,OK,8.386
80.0,2.288,2.288,V,0.318,OK,8.382
81.0,8.382,8.382,V,0.229,OK,2.6
82.0,2.6,2.6,V,0.217,OK,2.6
83.0,0.6,0.6,V,0.148,LOW_CONFIDENCE,0.6
84.0,0.6,0.6,V,0.267,OK,0.6
85.0,6.6,6.6,V,0.279,OK,2.6
86.0,2.6,2.6,V,0.204,OK,2.882
87.0,2.882,2.882,V,0.328,OK,2.882
88.0,7.282,7.282,V,0.348,OK,7.282
89.0,28.8,28.80,V,0.31,OK,7.282
90.0,5.982,5.982,V,0.35,OK,5.982
91.0,2.886,2.886,V,0.246,OK,5.982
92.0,8.682,8.682,V,0.329,OK,8.682
93.0,82.8,82.80,V,0.31,OK,8.741
94.0,8.8,08.80,V,0.319,OK,8.741
95.0,2.68,2.680,V,0.356,OK,8.8
96.0,8.822,8.822,V,0.249,OK,8.822
97.0,16.0,16.,V,0.298,OK,8.822
98.0,0.28,0.280,V,0.206,OK,5.486
99.0,5.486,5.486,V,0.287,OK,5.292
100.0,5.292,5.292,V,0.381,OK,5.292
101.0,4.002,4.002,V,0.373,OK,5.292
102.0,6.0,6.,V,0.309,OK,4.382
103.0,4.382,4.382,V,0.381,OK,4.982
104.0,4.982,4.982,V,0.392,OK,4.382
105.0,0.882,0.882,V,0.244,OK,0.882
106.0,0.182,0.182,V,0.301,OK,0.882
107.0,0.986,0.986,V,0.298,OK,0.882
108.0,0.882,0.882,V,0.199,LOW_CONFIDENCE,0.882
109.0,0.856,0.856,V,0.259,OK,0.856
110.0,43.82,43.82,V,0.403,OK,0.488
111.0,0.12,0.12,V,0.249,OK,0.488
112.0,5.782,5.782,V,0.251,OK,5.782
113.0,5.882,5.882,V,0.157,LOW_CONFIDENCE,5.882
114.0,5.883,5.883,V,0.311,OK,5.882
115.0,5.202,5.202,V,0.243,OK,5.202
116.0,0.609,0.609,V,0.174,LOW_CONFIDENCE,2.8045
117.0,,2.-7,V,0.315,OK,2.8045
118.0,5.0,5.,V,0.376,OK,5.0
119.0,20.82,20.82,V,0.291,OK,6.0
120.0,6.0,6.,V,0.305,OK,8.6
121.0,8.6,8.6,V,0.347,OK,6.0
122.0,2.6,2.6,V,0.215,OK,2.6
123.0,0.0,0.,V,0.251,OK,2.0
124.0,2.0,2.,V,0.317,OK,2.0
125.0,5.0,5.,V,0.356,OK,5.0
126.0,6.68,6.680,V,0.329,OK,6.68
127.0,8.88,8.880,V,0.324,OK,6.68
128.0,2.88,2.880,V,0.364,OK,5.889
129.0,5.889,5.889,V,0.264,OK,2.88
130.0,2.0,2,V,0.149,LOW_CONFIDENCE,2.688
131.0,2.688,2.688,V,0.329,OK,2.0
132.0,0.01,0.01,V,0.222,OK,2.688
133.0,4.86,4.860,V,0.293,OK,0.68
134.0,0.68,0.680,V,0.291,OK,3.22
135.0,3.22,3.220,V,0.358,OK,3.22
136.0,28.26,28.26,V,0.293,OK,18.88
137.0,18.88,18.88,V,0.307,OK,18.88
138.0,5.082,5.082,V,0.318,OK,18.88
139.0,30.82,30.82,V,0.288,OK,28.86
140.0,28.86,28.86,V,0.333,OK,28.86
141.0,80.26,80.26,V,0.278,OK,15.87
142.0,2.88,2.880,V,0.24,OK,15.87
143.0,20.86,20.86,V,0.215,OK,20.86
144.0,28.86,28.86,V,0.288,OK,20.86
145.0,9.82,9.820,V,0.382,OK,9.82
146.0,0.82,0.820,V,0.309,OK,0.88
