timestamp_s,reading_value,raw_text,confidence,status,cleaned_value
0.0,4.0,4,0.911,OK,2.0
1.0,0.0,0.0,0.836,OK,0.5
2.0,0.5,0.5,0.98,OK,0.5
3.0,4.126,4.126,0.977,OK,1.121
4.0,1.121,1.121,0.82,OK,1.121
5.0,,,0.0,LOW_CONFIDENCE,0.8356666666666667
6.0,,,0.0,LOW_CONFIDENCE,0.5503333333333333
7.0,0.265,0.265,0.825,OK,0.5503333333333333
8.0,2.21,2.21,0.71,OK,2.21
9.0,,,0.0,LOW_CONFIDENCE,3.4074999999999998
10.0,,,0.0,LOW_CONFIDENCE,4.605
11.0,,,0.0,LOW_CONFIDENCE,5.8025
12.0,7.0,7,0.687,OK,6.8
13.0,,,0.0,LOW_CONFIDENCE,6.8
14.0,6.6,6.6,0.434,OK,6.6
15.0,2.01,2.01,0.537,OK,2.01
16.0,0.0,0.0,0.809,OK,0.0
17.0,0.0,0,0.684,OK,0.0
18.0,6.1,6.1,0.542,OK,4.0
19.0,4.0,4,0.487,OK,4.0
20.0,0.0,0,0.489,OK,4.0
21.0,9.0,9,0.999,OK,6.116
22.0,6.116,6.116,0.788,OK,6.116
23.0,5.558,5.558,0.78,OK,5.558
24.0,1.216,1.216,0.957,OK,5.558
25.0,6.66,6.66,0.846,OK,6.206
26.0,6.206,6.206,0.805,OK,6.35
27.0,6.35,6.35,0.951,OK,6.206
28.0,0.66,0.66,0.899,OK,2.3
29.0,2.3,2.3,0.431,OK,2.3
30.0,4.0,4,1.0,OK,2.3
31.0,1.005,1.005,0.813,OK,1.416
32.0,1.416,1.416,0.885,OK,1.416
33.0,4.6,4.6,0.899,OK,4.6
34.0,4.616,4.616,0.91,OK,4.616
35.0,6.28,6.28,0.691,OK,4.616
36.0,0.36,0.36,0.945,OK,1.081
37.0,1.081,1.081,0.721,OK,0.662
38.0,0.662,0.662,0.933,OK,1.081
39.0,4.11,4.11,0.955,OK,0.662
40.0,0.414,0.414,0.936,OK,0.414
41.0,0.411,0.411,0.973,OK,0.414
42.0,7.452,7.452,0.96,OK,7.452
43.0,7.553,7.553,0.891,OK,7.452
44.0,6.113,6.113,0.874,OK,6.113
45.0,6.0,6.0,0.844,OK,6.009
46.0,6.009,6.009,0.922,OK,6.0
47.0,1.444,1.444,0.884,OK,1.506
48.0,1.506,1.506,0.827,OK,1.444
49.0,1.435,1.435,0.763,OK,1.435
50.0,0.737,0.737,0.561,OK,1.11
51.0,1.11,1.11,0.979,OK,1.11
52.0,5.177,5.177,0.726,OK,3.001
53.0,3.001,3.001,0.72,OK,5.177
54.0,7.07,7.070,0.765,OK,4.007
55.0,4.007,4.007,0.715,OK,7.07
56.0,7.903,7.903,0.742,OK,4.007
57.0,0.0,0.00,0.682,OK,6.69
58.0,6.69,6.69,0.752,OK,0.0
59.0,0.0,0.0,0.644,OK,0.0
60.0,0.0,0.0,0.846,OK,0.0
61.0,9.1,9.10,0.798,OK,0.04
62.0,0.04,0.04,0.784,OK,6.121
63.0,6.121,6.121,0.819,OK,4.231
64.0,4.231,4.231,0.729,OK,4.231
65.0,0.9,0.9,0.688,OK,4.231
66.0,8.5,8.500,0.765,OK,0.9
67.0,0.605,0.605,0.874,OK,0.874
68.0,0.874,0.874,0.813,OK,0.874
69.0,4.65,4.650,0.949,OK,0.874
70.0,0.063,0.063,0.943,OK,0.41
71.0,0.41,0.41,0.878,OK,0.41
72.0,6.3,6.30,0.727,OK,6.3
73.0,6.656,6.656,0.801,OK,6.3
74.0,0.6,0.60,0.831,OK,4.188
75.0,4.188,4.188,0.716,OK,0.6
76.0,0.22,0.220,0.957,OK,4.18
77.0,4.18,4.180,0.725,OK,0.26
78.0,0.26,0.260,0.901,OK,0.529
79.0,0.529,0.529,0.988,OK,0.529
80.0,5.61,5.610,0.968,OK,5.61
81.0,8.506,8.506,0.8,OK,6.6
82.0,6.6,6.600,0.795,OK,6.6
83.0,0.503,0.503,0.831,OK,6.6
84.0,7.555,7.555,0.786,OK,6.0
85.0,6.0,6.0,0.989,OK,6.0
86.0,1.0,1,0.466,OK,4.44
87.0,4.44,4.44,0.875,OK,1.522
88.0,1.522,1.522,0.877,OK,4.44
89.0,4.444,4.444,0.956,OK,1.522
90.0,1.153,1.153,0.92,OK,4.444
91.0,4.54,4.54,0.857,OK,4.54
92.0,6.5,6.500,0.744,OK,4.554
93.0,4.554,4.554,0.708,OK,4.554
94.0,4.417,4.417,0.834,OK,4.554
95.0,4.59,4.590,0.971,OK,4.417
96.0,4.0,4.0,0.761,OK,4.59
97.0,5.48,5.48,0.699,OK,5.48
98.0,8.081,8.081,0.792,OK,5.48
99.0,0.607,0.607,0.969,OK,1.07
100.0,1.07,1.07,0.697,OK,1.07
101.0,6.41,6.41,0.925,OK,5.01
102.0,5.01,5.010,0.968,OK,5.01
103.0,2.1,2.1,0.761,OK,2.1
104.0,1.8,1.80,0.922,OK,1.8
105.0,0.66,0.66,0.823,OK,0.66
106.0,0.62,0.62,0.741,OK,0.66
107.0,1.1,1.10,0.864,OK,0.62
108.0,0.0,0.00,0.892,OK,0.164
109.0,0.164,0.164,0.997,OK,0.164
110.0,6.39,6.39,0.816,OK,1.6
111.0,1.6,1.60,0.957,OK,6.39
112.0,8.0,8,0.756,OK,1.6
113.0,0.0,0.00,0.991,OK,8.0
114.0,9.34,9.34,0.815,OK,6.55
115.0,6.55,6.550,0.783,OK,6.55
116.0,1.047,1.047,0.96,OK,1.11
117.0,1.11,1.11,0.809,OK,1.11
118.0,2.44,2.44,0.87,OK,1.11
119.0,1.1,1.10,0.659,OK,1.571
120.0,1.571,1.571,1.0,OK,1.358
121.0,1.358,1.358,1.0,OK,1.358
122.0,1.212,1.212,1.0,OK,1.212
123.0,1.099,1.099,1.0,OK,1.099
124.0,1.007,1.007,1.0,OK,1.007
125.0,0.929,0.929,1.0,OK,0.929
126.0,0.863,0.863,1.0,OK,0.863
127.0,0.805,0.805,1.0,OK,0.805
128.0,0.756,0.756,1.0,OK,0.805
129.0,1.742,1.742,1.0,OK,1.742
130.0,2.86,2.86,1.0,OK,2.86
131.0,5.05,5.05,1.0,OK,4.19
