timestamp_s,reading_value,raw_text,confidence,cleaned_value
0.0,,,0.0,1.0
1.0,,,0.0,1.0
2.0,,,0.0,1.0
3.0,,,0.0,1.0
4.0,,,0.0,1.0
5.0,,,0.0,1.0
6.0,,,0.0,1.0
7.0,,,0.0,1.0
8.0,,,0.0,1.0
9.0,,,0.0,1.0
10.0,,,0.0,1.0
11.0,,,0.0,1.0
12.0,,,0.0,1.0
13.0,,,0.0,1.0
14.0,,,0.0,1.0
15.0,,,0.0,1.0
16.0,,,0.0,1.0
17.0,,,0.0,1.0
18.0,,,0.0,1.0
19.0,,,0.0,1.0
20.0,,,0.0,1.0
21.0,,,0.0,1.0
22.0,1.0,1,0.156,1.0
23.0,4.116,4.116,0.296,1.0
24.0,0.726,0.726,0.439,1.0
25.0,1.0,1,0.231,1.0
26.0,2.62,2.62,0.273,2.62
27.0,5.0,5,0.198,5.0
28.0,6.26,6.26,0.272,5.046666666666667
29.0,,,0.0,5.046666666666667
30.0,,,0.0,3.8333333333333335
31.0,2.62,2.62,0.245,2.62
32.0,,,0.0,2.48
33.0,,,0.0,2.3400000000000003
34.0,2.2,2.2,0.345,2.3400000000000003
35.0,5.0,5,0.198,5.0
36.0,5.053,5.053,0.248,5.0
37.0,0.5,0.500,0.437,5.053
38.0,9.0,9,0.191,5.0
39.0,5.0,5.0,0.344,6.5
40.0,6.5,6.5,0.475,5.0
41.0,4.5,4.5,0.347,4.5
42.0,1.452,1.452,0.415,1.452
43.0,0.41,0.41,0.545,1.452
44.0,4.41,4.41,0.538,4.0
45.0,4.0,4,0.266,4.0
46.0,1.41,1.41,0.235,1.46
47.0,1.46,1.46,0.217,1.43
48.0,1.43,1.43,0.277,1.43
49.0,,,0.0,1.2149999999999999
50.0,1.0,1,0.167,1.0
51.0,,,0.0,1.0
52.0,1.0,1,0.213,1.0
53.0,,,0.0,1.1125
54.0,,,0.0,1.225
55.0,,,0.0,1.3375
56.0,1.45,1.45,0.36,1.45
57.0,,,0.0,2.5875
58.0,,,0.0,3.7249999999999996
59.0,,,0.0,4.8625
60.0,6.0,6,0.197,4.8625
61.0,,,0.0,4.333333333333333
62.0,,,0.0,2.6666666666666665
63.0,1.0,1,0.243,2.6666666666666665
64.0,,,0.0,4.7
