epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.9546,1.97981,4.11516,1.63145,0.01607,0.875,0.141,0.08207,1.03064,3.91445,0.97517,0.00015,0.00015,0.00015
2,55.3703,1.27933,2.98703,1.1278,0.03071,0.74722,0.29634,0.10079,1.47122,3.83857,1.16371,0.000294122,0.000294122,0.000294122
3,70.6507,1.07449,2.07446,1.0536,0.34526,0.31018,0.36614,0.16295,1.7951,3.01485,1.48329,0.00042587,0.00042587,0.00042587
4,85.3553,0.94388,1.59642,1.0198,0.3968,0.21624,0.284,0.11133,1.84814,3.3707,1.76266,0.000545242,0.000545242,0.000545242
5,99.6535,0.85339,1.2831,0.97108,0.69818,0.23056,0.44209,0.15856,1.91528,2.75687,1.48359,0.000526,0.000526,0.000526
6,113.902,0.77151,1.08073,0.94607,0.55624,0.69928,0.62065,0.19814,2.55359,1.73913,2.23659,0.00050125,0.00050125,0.00050125
7,128.273,0.69384,0.92969,0.92213,0.635,0.81148,0.81669,0.37702,1.92445,1.55241,1.69889,0.0004765,0.0004765,0.0004765
8,142.718,0.64801,0.83247,0.8991,0.66943,0.71641,0.69416,0.26062,2.44085,1.2089,2.37183,0.00045175,0.00045175,0.00045175
9,157.425,0.60525,0.76638,0.88838,0.61998,0.67783,0.58764,0.17046,2.87144,1.39441,3.22196,0.000427,0.000427,0.000427
10,171.771,0.57194,0.71616,0.87556,0.71288,0.75,0.70165,0.2524,2.57759,1.18283,2.50662,0.00040225,0.00040225,0.00040225
11,186.51,0.53302,0.67124,0.86794,0.69569,0.7171,0.66218,0.29873,2.22763,1.26113,2.10445,0.0003775,0.0003775,0.0003775
12,201.259,0.50144,0.63067,0.8556,0.69171,0.725,0.67696,0.26189,2.46588,1.14463,2.29747,0.00035275,0.00035275,0.00035275
13,215.642,0.50446,0.62533,0.85267,0.75748,0.81111,0.79748,0.33045,2.17315,1.03992,2.15415,0.000328,0.000328,0.000328
14,230.064,0.48889,0.59918,0.85291,0.45849,0.48364,0.38028,0.14925,2.91796,1.35341,3.10099,0.00030325,0.00030325,0.00030325
15,244.373,0.4747,0.57518,0.84594,0.54999,0.57832,0.51356,0.20191,2.95408,1.37711,3.11707,0.0002785,0.0002785,0.0002785
16,258.323,0.46334,0.56931,0.82123,0.70491,0.73766,0.66978,0.2428,2.50607,1.23491,2.59126,0.00025375,0.00025375,0.00025375
17,272.06,0.40554,0.48769,0.80593,0.67388,0.7092,0.65776,0.2868,2.27563,1.15317,2.51849,0.000229,0.000229,0.000229
18,285.352,0.38529,0.46076,0.80168,0.65118,0.675,0.56186,0.17251,2.71412,1.46332,3.16693,0.00020425,0.00020425,0.00020425
19,298.937,0.34654,0.43132,0.79693,0.74804,0.73333,0.6693,0.22093,2.71819,1.32616,3.05428,0.0001795,0.0001795,0.0001795
20,312.156,0.33069,0.42024,0.80098,0.75411,0.79516,0.75165,0.32141,2.15293,1.0106,2.30961,0.00015475,0.00015475,0.00015475
21,325.342,0.31373,0.39569,0.78689,0.74017,0.76111,0.7142,0.26545,2.55615,1.25245,2.79357,0.00013,0.00013,0.00013
22,338.678,0.30194,0.38817,0.78961,0.67372,0.68889,0.60056,0.24398,2.48888,1.38125,2.78967,0.00010525,0.00010525,0.00010525
23,351.866,0.28768,0.37497,0.78725,0.66041,0.675,0.60207,0.23982,2.62986,1.32849,2.97493,8.05e-05,8.05e-05,8.05e-05
24,365.014,0.2782,0.36455,0.78713,0.76847,0.78333,0.74831,0.27916,2.52577,1.31714,2.77918,5.575e-05,5.575e-05,5.575e-05
25,378.368,0.2676,0.35475,0.78216,0.66085,0.675,0.59484,0.23407,2.6997,1.36704,3.0305,3.1e-05,3.1e-05,3.1e-05
