,rpm,cm,V,mA,,,,,,,,,,,,,
time,rpm,waveheight,voltage,current,power,,,,,,,,,,,,
2026-08-14T19:00:00+05:30,0,93.20,1.466,9.60,0.0140736,,,,,,,,,,,,
2026-08-14T19:00:01+05:30,0,89.79,1.370,8.97,0.0122889,,,,,,,,,,,,
2026-08-14T19:00:02+05:30,0,104.32,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:03+05:30,0.7,83.03,4.494,29.42,0.13221348,,,,,,,,,,,,
2026-08-14T19:00:04+05:30,0,84.36,3.316,21.71,0.07199036,,,,,,,,,,,,
2026-08-14T19:00:05+05:30,1,77.60,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:06+05:30,0,74.65,2.010,13.16,0.0264516,,,,,,,,,,,,
2026-08-14T19:00:07+05:30,0,80.46,1.824,11.94,0.02177856,,,,,,,,,,,,
2026-08-14T19:00:08+05:30,1.9,64.96,1.673,10.95,0.01831935,,,,,,,,,,,,
2026-08-14T19:00:09+05:30,3.8,69.14,1.545,10.11,0.01561995,,,,,,,,,,,,
2026-08-14T19:00:10+05:30,4.4,91.61,7.405,48.47,0.35892035,,,,,,,,,,,,
2026-08-14T19:00:11+05:30,0,103.92,4.376,28.64,0.12532864,,,,,,,,,,,,
2026-08-14T19:00:12+05:30,0,99.67,3.332,21.81,0.07267092,,,,,,,,,,,,
2026-08-14T19:00:13+05:30,0,89.59,2.794,18.29,0.05110226,,,,,,,,,,,,
2026-08-14T19:00:14+05:30,0.3,93.37,2.388,15.63,0.03732444,,,,,,,,,,,,
2026-08-14T19:00:15+05:30,1.4,92.19,2.119,13.87,0.02939053,,,,,,,,,,,,
2026-08-14T19:00:16+05:30,0.1,70.43,1.915,12.54,0.0240141,,,,,,,,,,,,
2026-08-14T19:00:17+05:30,0,71.31,1.750,11.46,0.020055,,,,,,,,,,,,
2026-08-14T19:00:18+05:30,0,72.20,1.574,10.30,0.0162122,,,,,,,,,,,,
2026-08-14T19:00:19+05:30,3.9,74.39,1.446,9.47,0.01369362,,,,,,,,,,,,
2026-08-14T19:00:20+05:30,0,88.86,1.367,8.95,0.01223465,,,,,,,,,,,,
2026-08-14T19:00:21+05:30,0,91.03,1.289,8.44,0.01087916,,,,,,,,,,,,
2026-08-14T19:00:22+05:30,0.1,72.90,1.222,8.00,0.009776,,,,,,,,,,,,
2026-08-14T19:00:23+05:30,4.4,85.11,1.163,7.61,0.00885043,,,,,,,,,,,,
2026-08-14T19:00:24+05:30,0,97.73,1.111,7.27,0.00807697,,,,,,,,,,,,
2026-08-14T19:00:25+05:30,0,95.73,1.065,6.97,0.00742305,,,,,,,,,,,,
2026-08-14T19:00:26+05:30,0,91.25,1.025,6.71,0.00687775,,,,,,,,,,,,
2026-08-14T19:00:27+05:30,0,85.76,0.990,6.48,0.0064152,,,,,,,,,,,,
2026-08-14T19:00:28+05:30,0,90.67,0.961,6.29,0.00604469,,,,,,,,,,,,
2026-08-14T19:00:29+05:30,0,77.43,0.937,6.13,0.00574381,,,,,,,,,,,,
2026-08-14T19:00:30+05:30,0,68.47,0.917,6.00,0.005502,,,,,,,,,,,,
2026-08-14T19:00:31+05:30,0,65.39,0.904,5.92,0.00535168,,,,,,,,,,,,
2026-08-14T19:00:32+05:30,0.4,75.45,0.884,5.79,0.00511836,,,,,,,,,,,,
2026-08-14T19:00:33+05:30,0,87.66,0.872,5.71,0.00497912,,,,,,,,,,,,
2026-08-14T19:00:34+05:30,4.6,89.88,0.852,5.58,0.00475416,,,,,,,,,,,,
2026-08-14T19:00:35+05:30,0,101.54,0.842,5.51,0.00463942,,,,,,,,,,,,
2026-08-14T19:00:36+05:30,0,99.62,0.820,5.37,0.0044034,,,,,,,,,,,,
2026-08-14T19:00:37+05:30,0,96.54,0.808,5.29,0.00427432,,,,,,,,,,,,
2026-08-14T19:00:38+05:30,1,74.55,0.789,5.16,0.00407124,,,,,,,,,,,,
2026-08-14T19:00:39+05:30,0,79.58,0.762,4.99,0.00380238,,,,,,,,,,,,
2026-08-14T19:00:40+05:30,0,76.17,0.761,4.98,0.00378978,,,,,,,,,,,,
2026-08-14T19:00:41+05:30,0,71.33,0.752,4.92,0.00369984,,,,,,,,,,,,
2026-08-14T19:00:42+05:30,0,68.74,0.752,4.92,0.00369984,,,,,,,,,,,,
2026-08-14T19:00:43+05:30,5.8,84.52,0.742,4.86,0.00360612,,,,,,,,,,,,
2026-08-14T19:00:44+05:30,0,98.08,0.741,4.85,0.00359385,,,,,,,,,,,,
2026-08-14T19:00:45+05:30,3.6,88.80,0.737,4.82,0.00355234,,,,,,,,,,,,
2026-08-14T19:00:46+05:30,3.4,92.04,0.734,4.80,0.0035232,,,,,,,,,,,,
2026-08-14T19:00:47+05:30,0,101.80,0.729,4.77,0.00347733,,,,,,,,,,,,
2026-08-14T19:00:48+05:30,2.3,89.85,0.725,4.75,0.00344375,,,,,,,,,,,,
2026-08-14T19:00:49+05:30,0.2,75.62,0.722,4.73,0.00341506,,,,,,,,,,,,
2026-08-14T19:00:50+05:30,0,61.82,0.720,4.71,0.0033912,,,,,,,,,,,,
2026-08-14T19:00:51+05:30,0,77.55,0.717,4.69,0.00336273,,,,,,,,,,,,
2026-08-14T19:00:52+05:30,1.4,75.47,6.480,42.42,0.2748816,,,,,,,,,,,,
2026-08-14T19:00:53+05:30,2.3,94.37,4.780,31.29,0.1495662,,,,,,,,,,,,
2026-08-14T19:00:54+05:30,2.3,92.68,4.191,27.43,0.11495913,,,,,,,,,,,,
2026-08-14T19:00:55+05:30,0,79.92,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:56+05:30,0,86.26,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:57+05:30,0,94.93,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:58+05:30,0.9,81.66,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:00:59+05:30,0,85.80,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:00+05:30,2.3,87.50,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:01+05:30,0,73.24,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:02+05:30,0,73.86,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:03+05:30,0,83.06,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:04+05:30,0,88.65,0.000,0.00,0,,,,,,,,,,,,
2026-08-14T19:01:05+05:30,0,92.03,1.606,10.51,0.01687906,,,,,,,,,,,,
2026-08-14T19:01:06+05:30,0,92.56,1.491,9.76,0.01455216,,,,,,,,,,,,
2026-08-14T19:01:07+05:30,0.2,86.44,1.394,9.12,0.01271328,,,,,,,,,,,,
2026-08-14T19:01:08+05:30,2.1,86.91,1.313,8.59,0.01127867,,,,,,,,,,,,
